# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "./Fixed_analysis/mm10.refGene.gtf" "-o" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/mT5-RNAseq_gene_counts_fixed.txt" "-t" "exon" "-g" "gene_id" "-T" "8" "-p" "-s" "0" "--ignoreDup" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras242_S117.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras467_S118.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_11_S119.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_14_S120.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren2_S125.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren_S116.marked.bam" 
Geneid	Chr	Start	End	Strand	Length	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras242_S117.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras467_S118.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_11_S119.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_14_S120.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren2_S125.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren_S116.marked.bam
Hdac9	chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12	34047582;34078476;34095946;34107218;34169995;34215011;34215421;34220872;34221204;34248323;34282647;34287455;34303173;34312534;34371497;34373878;34389245;34389245;34390142;34390142;34393283;34393283;34402752;34402752;34407766;34407766;34429498;34429498;34431863;34431863;34433081;34433081;34437137;34437137;34528283;34528283;34528600;34827637;34914999;34917054	34052340;34078623;34096030;34107351;34170113;34215108;34215540;34220959;34221259;34248430;34282696;34287575;34303306;34312711;34374138;34374138;34389462;34389462;34390352;34390352;34393405;34393405;34402867;34402867;34407897;34407897;34429619;34429619;34431989;34431989;34433222;34433231;34437378;34437378;34528345;34528345;34528889;34827753;34915070;34917095	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	10866	6	3	2	3	16	28
Styxl1	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	135747220;135747220;135747220;135747220;135747220;135753832;135753832;135753832;135753832;135753832;135755407;135755407;135755407;135755407;135755407;135756999;135756999;135756999;135756999;135759129;135759129;135759129;135759129;135759129;135765651;135765651;135765651;135768854;135768854;135768854;135768854;135768854;135770256;135770256;135770256;135770256;135770256;135778174;135778174;135778251;135778251;135778251	135747898;135747898;135747898;135747898;135747898;135753944;135753944;135753944;135753944;135753944;135755504;135755504;135755504;135755504;135755504;135757144;135757144;135757144;135757144;135759274;135759274;135759274;135759274;135759274;135765816;135765816;135765816;135768915;135768915;135768915;135768915;135768915;135770362;135770359;135770362;135770359;135770362;135778301;135778301;135778385;135778385;135778385	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1729	65	141	57	86	58	79
Pex5	chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6	124396816;124396816;124396816;124396816;124396816;124398344;124398344;124398344;124398344;124398344;124398781;124398781;124398781;124398781;124398781;124399248;124399248;124399248;124399248;124399248;124399859;124399859;124399859;124399859;124399859;124400088;124400088;124400088;124400088;124400088;124403116;124403116;124403116;124403116;124403116;124403812;124403812;124403812;124403812;124403812;124404133;124404133;124404630;124404630;124404630;124404630;124404630;124405167;124405167;124405167;124405167;124405167;124413269;124413269;124413269;124413269;124413269;124413569;124413569;124413569;124413569;124413569;124414007;124414007;124414007;124414007;124414007;124414287;124414287;124414287;124414287;124414287;124414767;124414973;124414973;124415010;124415832	124398170;124398170;124398170;124398170;124398170;124398501;124398501;124398501;124398501;124398501;124398946;124398946;124398946;124398946;124398946;124399454;124399454;124399454;124399454;124399454;124399929;124399929;124399929;124399929;124399929;124400231;124400231;124400231;124400231;124400231;124403235;124403235;124403235;124403235;124403235;124403907;124403907;124403907;124403907;124403907;124404243;124404243;124404720;124404720;124404720;124404720;124404720;124405272;124405272;124405272;124405272;124405272;124413400;124413400;124413400;124413400;124413400;124413701;124413701;124413701;124413701;124413701;124414042;124414042;124414042;124414042;124414042;124414450;124414450;124414450;124414450;124414450;124414863;124415067;124415067;124415067;124415855	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3306	1985	2132	2524	3873	3180	2981
Cav2	chr6;chr6;chr6;chr6;chr6	17281185;17281185;17281895;17281895;17286897	17281510;17281510;17282082;17282684;17289130	+;+;+;+;+	3350	16388	20442	15343	20827	22583	26488
Coq3	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	21879646;21879853;21892809;21892809;21896555;21896555;21899058;21899058;21900264;21900264;21908483;21908483;21910419;21910419	21879796;21879988;21892935;21892935;21896707;21896707;21899157;21899157;21900506;21900506;21908642;21908642;21912163;21912163	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2815	1548	1890	1063	1830	1422	2181
Chrd	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	20733127;20733127;20733127;20733127;20733465;20733531;20733531;20733531;20734007;20734007;20734007;20734007;20734273;20734273;20734273;20734273;20734487;20734487;20734487;20734487;20734686;20734686;20734686;20734686;20734862;20735117;20735117;20735117;20735117;20735371;20735371;20735371;20735371;20735581;20735581;20735581;20735581;20735746;20735746;20735746;20735746;20736037;20736037;20736037;20736037;20736264;20736264;20736264;20736264;20736909;20736909;20736909;20736909;20737342;20737342;20737342;20737342;20738194;20738194;20738194;20738194;20738553;20738553;20738553;20738553;20738904;20738904;20738904;20738904;20739111;20739111;20739111;20739111;20739407;20739407;20739407;20739407;20739954;20739954;20739954;20739954;20741190;20741190;20741190;20741190;20741496;20741496;20741496;20741496;20741922;20741925;20741925;20741925	20733295;20733295;20733295;20733295;20733634;20733634;20733634;20733634;20734136;20734136;20734136;20734136;20734401;20734401;20734401;20734401;20734586;20734586;20734586;20734586;20734773;20734773;20734773;20734773;20734962;20735258;20735258;20735258;20735258;20735499;20735499;20735499;20735499;20735663;20735663;20735663;20735663;20735893;20735893;20735893;20735893;20736143;20736143;20736143;20736143;20736442;20736383;20736383;20736383;20737065;20737065;20737065;20737065;20737562;20737562;20737562;20737562;20738307;20738307;20738307;20738307;20738816;20738816;20738816;20738816;20738997;20738997;20738997;20738997;20739164;20739164;20739164;20739164;20739510;20739510;20739510;20739510;20740056;20740056;20740056;20740056;20741344;20741344;20741344;20741344;20741595;20741595;20741595;20741595;20742384;20742384;20742384;20742384	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3504	10	23	26	2	34	42
Mir6984	chr19	3288920	3288983	+	64	0	0	0	0	0	2
Sbk3	chr7;chr7;chr7;chr7	4965260;4969828;4970485;4970931	4968026;4970030;4970635;4970961	-;-;-;-	3152	20	12	8	38	42	24
H2al1g	chrX;chrX;chrX;chrX	11308755;11315089;11318256;11321423	11309263;11315597;11318764;11321931	+;+;+;+	2036	0	0	0	0	0	0
H2al1f	chrX;chrX;chrX;chrX;chrX;chrX;chrX	11299321;11305655;11308824;11315158;11318325;11321492;11324659	11299638;11305972;11309141;11315475;11318642;11321809;11324976	+;+;+;+;+;+;+	2226	0	0	0	0	0	0
Dync1i2	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	71211706;71211706;71211706;71211706;71211706;71211946;71211946;71211946;71211946;71214439;71214439;71214439;71214439;71214439;71214439;71214439;71214439;71214439;71219301;71219301;71219301;71219301;71219301;71219301;71219301;71219301;71219301;71223131;71223131;71223146;71223146;71227827;71227827;71227827;71227827;71227827;71227827;71228600;71228600;71228600;71228600;71228600;71228600;71228600;71228600;71228600;71233649;71233649;71233649;71233649;71233649;71233649;71235915;71235915;71235915;71235915;71235915;71235915;71235915;71235915;71235915;71246689;71246689;71246689;71246689;71246689;71246689;71246689;71246689;71246689;71247013;71247013;71247013;71247013;71247013;71247013;71247013;71247013;71247013;71247289;71247289;71247289;71247289;71247289;71247289;71247289;71247289;71247289;71247821;71247821;71247821;71247821;71247821;71247821;71247821;71247821;71247821;71248787;71248787;71248787;71248787;71248787;71248787;71248787;71248787;71248787;71249309;71249309;71249309;71249309;71249309;71249309;71249309;71249309;71249309;71249719;71249719;71249719;71249719;71249719;71249719;71249719;71249719;71249719;71250842;71250842;71250842;71250842;71250842;71250842;71250842;71250842;71250842;71258084;71258084;71258084;71258084;71258084;71258084;71258084;71258084;71258084;71260822;71260822;71260822;71260822;71260822;71260822;71260822;71260822;71260822;71262648;71262648;71262648;71262648;71262648;71262648;71262648;71262648;71262648	71211845;71211845;71211845;71211845;71211845;71212074;71212074;71212074;71212074;71214555;71214555;71214555;71214555;71214555;71214555;71214555;71214555;71214555;71219418;71219418;71219418;71219418;71219418;71219418;71219418;71219418;71219418;71223181;71223181;71223181;71223181;71227844;71227844;71227844;71227844;71227844;71227844;71228690;71228690;71228690;71228690;71228690;71228690;71228690;71228690;71228690;71233708;71233708;71233708;71233708;71233708;71233708;71236030;71236030;71236030;71236030;71236030;71236030;71236030;71236030;71236030;71246784;71246784;71246784;71246784;71246784;71246784;71246784;71246784;71246784;71247175;71247175;71247175;71247175;71247175;71247175;71247175;71247175;71247175;71247388;71247388;71247388;71247388;71247388;71247388;71247388;71247388;71247388;71247946;71247946;71247946;71247946;71247946;71247946;71247946;71247946;71247946;71248933;71248933;71248933;71248933;71248933;71248933;71248933;71248933;71248933;71249422;71249422;71249422;71249422;71249422;71249422;71249422;71249422;71249422;71249852;71249852;71249852;71249852;71249852;71249852;71249852;71249852;71249852;71250986;71250986;71250986;71250986;71250986;71250986;71250986;71250986;71250986;71258224;71258224;71258224;71258224;71258224;71258224;71258224;71258224;71258224;71260947;71260947;71260947;71260947;71260947;71260947;71260947;71260947;71260947;71263302;71263302;71263302;71263302;71263302;71263302;71263302;71263302;71263302	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2787	13196	16508	11531	15608	14945	16147
Dennd2d	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	106482431;106482450;106483065;106486040;106486873;106486873;106486873;106487851;106487851;106487851;106488572;106488572;106488572;106490335;106490335;106490335;106491226;106491226;106491226;106492429;106492429;106492429;106494831;106494831;106494831;106498818;106498818;106498818;106499221;106499221;106499221;106499755;106499755;106499755;106500536;106500536;106500536	106482713;106482713;106483162;106486320;106487048;106487048;106487048;106487963;106487963;106487963;106488641;106488641;106488641;106490412;106490412;106490412;106491366;106491366;106491366;106492577;106492577;106492577;106495008;106495008;106495008;106498859;106498859;106498859;106499305;106499305;106499305;106499994;106499994;106499994;106503030;106503030;106503030	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4429	4133	3892	4795	4845	4621	4551
Gm15290	chr13;chr13	111522350;111549610	111522710;111549909	-;-	661	0	0	0	0	0	0
Sh2d3c	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	32721055;32721055;32724937;32724937;32727689;32737519;32737519;32737519;32741210;32744751;32744751;32744751;32745835;32745835;32745835;32747022;32747022;32747022;32749153;32749153;32749153;32750952;32750952;32750952;32751514;32751514;32751514;32752614;32752614;32752614;32752989;32752989;32752989;32754396;32754396;32754396	32721195;32721195;32725399;32725399;32727806;32737558;32737558;32737558;32741667;32744879;32744879;32744879;32746289;32746289;32746289;32747146;32747146;32747146;32749685;32749685;32749685;32751067;32751067;32751067;32751685;32751685;32751685;32752725;32752725;32752725;32753195;32753195;32753195;32755007;32755007;32755007	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3681	287	264	453	547	428	387
Klk1b7-ps	chr7;chr7;chr7	43945012;43945208;43945723	43945111;43945350;43945927	+;+;+	448	0	0	0	0	0	0
Gm1673	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	33983433;33983433;33983433;33983757;33983757;33983757;33984052;33984052;33984052;33984898;33984898;33984898	33983643;33983639;33983564;33983896;33983896;33983896;33984140;33984140;33984140;33985009;33985009;33985009	+;+;+;+;+;+;+;+;+;+;+;+	552	2039	5056	1193	424	2145	5557
Pard6a	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	105701148;105701148;105701647;105701647;105701647;105702174;105702174;105702174;105702174;105702174;105702608;105702608;105702608;105702608;105702611	105701286;105701317;105701803;105701803;105701803;105702306;105702396;105702396;105702396;105702396;105703494;105703494;105703494;105703494;105703494	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1437	572	825	555	820	823	827
Srgap2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	131285251;131292521;131296320;131298332;131300393;131310474;131317129;131319525;131320435;131325088;131332117;131333857;131336390;131344349;131345762;131349452;131355511;131356690;131364002;131411800;131436675;131524938;131527233	131289740;131292845;131296466;131298512;131300472;131310698;131317234;131319659;131320512;131325148;131332141;131333884;131336474;131344546;131345863;131349676;131355639;131356905;131364064;131411962;131436867;131525593;131527361	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8040	4289	4340	4316	6919	4505	4286
Nrip1	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	76287403;76287403;76330746;76330746;76352472;76352472;76372872;76373770	76295015;76295015;76330864;76330864;76352546;76352549;76373049;76373827	-;-;-;-;-;-;-;-	8046	1968	2841	2794	3637	2226	2393
Olfr8	chr10	78955207	78956139	+	933	0	0	0	0	0	0
Tes	chr6;chr6;chr6;chr6;chr6;chr6;chr6	17065149;17086137;17096128;17097261;17099704;17100282;17104593	17065313;17086222;17096380;17097590;17099919;17100440;17105825	+;+;+;+;+;+;+	2442	19504	25329	19158	25801	18680	20027
Dnph1	chr17;chr17;chr17;chr17	46496789;46498425;46498643;46498877	46496972;46498493;46498753;46499618	+;+;+;+	1106	864	1122	649	1132	2117	2160
Fbh1	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	11742573;11742573;11742573;11742573;11742573;11743626;11743626;11743626;11743626;11743626;11747060;11747060;11747060;11747060;11747060;11748364;11748364;11748364;11748364;11748364;11748937;11748937;11748937;11748937;11748937;11749531;11749531;11749531;11749531;11749531;11751451;11751451;11751451;11751451;11751451;11751667;11751667;11751667;11751667;11751667;11755641;11755641;11755641;11755641;11755641;11756417;11756417;11756417;11756417;11756417;11756602;11756602;11756602;11756602;11756602;11757440;11757440;11757440;11757440;11757440;11758280;11758280;11758280;11758280;11758280;11759929;11759929;11759929;11759929;11759929;11760481;11760481;11760481;11760481;11760481;11762831;11762831;11762831;11762831;11762831;11763870;11763870;11763870;11763870;11763870;11764103;11764103;11764103;11764103;11764103;11767122;11767122;11767122;11767122;11767122;11769750;11769750;11769776;11769776;11769776;11777069;11777404;11777404;11777432;11777432	11743033;11743033;11743033;11743033;11743033;11743757;11743757;11743757;11743757;11743757;11747166;11747166;11747166;11747166;11747166;11748489;11748489;11748489;11748489;11748489;11749134;11749134;11749134;11749134;11749134;11749606;11749606;11749606;11749606;11749606;11751572;11751572;11751572;11751572;11751572;11751766;11751766;11751766;11751766;11751766;11755777;11755777;11755777;11755777;11755777;11756503;11756503;11756503;11756503;11756503;11756689;11756689;11756689;11756689;11756689;11757662;11757662;11757662;11757662;11757662;11758448;11758448;11758448;11758448;11758448;11760023;11760023;11760023;11760023;11760023;11760573;11760573;11760573;11760573;11760573;11763021;11763021;11763021;11763021;11763021;11764005;11764005;11764005;11764005;11764005;11764233;11764233;11764233;11764233;11764233;11767711;11767711;11767711;11767711;11767711;11769931;11769931;11769931;11769931;11769931;11777585;11777585;11777585;11777585;11777585	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3961	5017	6147	4880	6568	7448	6900
Rpl15	chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14	18267823;18267823;18267823;18269907;18269907;18269907;18270279;18270279;18270279;18270823;18270845;18270959	18269316;18269316;18269316;18270043;18270043;18270043;18270460;18270460;18270460;18270981;18270981;18270986	-;-;-;-;-;-;-;-;-;-;-;-	1977	29030	27781	30527	30523	33636	36900
Sh3tc1	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	35697180;35697180;35699711;35699711;35700257;35700257;35700585;35700585;35701851;35701851;35703351;35703351;35705862;35705862;35709645;35709645;35710861;35710861;35714063;35714063;35715026;35715026;35716109;35716109;35716930;35716930;35718271;35718271;35718973;35718973;35721530;35721530;35723914;35723914;35728947;35739958	35697568;35697568;35699907;35699907;35700407;35700407;35700707;35700707;35702001;35702001;35703531;35703531;35707541;35707541;35709686;35709686;35710994;35710994;35714258;35714258;35715102;35715102;35716319;35716319;35717076;35717076;35718376;35718376;35719100;35719100;35721604;35721604;35724144;35724144;35729276;35739987	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4579	270	168	247	356	974	660
Slc7a4	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	17572018;17572018;17572018;17572018;17573556;17573556;17573556;17573556;17573946;17573946;17573946;17573946;17574952;17574952;17574952;17574952;17576081;17576432;17576640;17576640;17576640	17573452;17573452;17573452;17573452;17573664;17573664;17573664;17573664;17574586;17574586;17574586;17574586;17575965;17575965;17575965;17575968;17576203;17576650;17576890;17576671;17576890	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3784	3022	4412	2498	3292	2630	2843
Ghitm	chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14	37120445;37120445;37120446;37125160;37125160;37125160;37125902;37125902;37125902;37127587;37127587;37127587;37130636;37130636;37130636;37131538;37131538;37131538;37133171;37133171;37133171;37133633;37133633;37133633;37134787;37134965;37135195	37122226;37122226;37122226;37125331;37125331;37125331;37126090;37126090;37126090;37127695;37127695;37127695;37130777;37130777;37130777;37131649;37131649;37131649;37133270;37133270;37133270;37133803;37133803;37133803;37135254;37135139;37135322	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3313	35262	40498	32380	39818	40207	42014
